Transaction Number;Ethereum (PoW);Hyperledger Besu (IBFT2);CosmWasm (Tendermint)
364;17.17;5.88;5.43
365;17.28;4.6;5.33
366;15.1;4.88;5.36
367;23.04;4.62;5.37
368;73.39;5.78;5.36
369;10.08;5.16;5.34
370;22.21;3.96;5.33
371;61.48;5.83;5.38
372;4.03;5.01;5.49
373;31.05;4.74;5.48
374;41.42;4.7;5.45
375;52.2;5.69;5.46
376;8.15;4.98;5.33
377;22.2;5.04;5.38
378;17.07;5;5.42
379;7.08;5.02;5.39
380;14.31;4.04;5.34
381;13.26;5.64;5.33
382;14.22;4.79;5.37
383;20.19;4.58;5.46
384;20.18;5.73;5.33
385;39.17;4.91;5.33
386;33.15;4.85;5.36
387;18.24;4.73;5.38
388;39.18;4.71;5.47
389;26.66;5.69;5.46
390;29.61;4.9;5.45
391;20.52;4.86;5.53
392;10.66;4.66;5.56
393;57.76;5.67;5.37
394;49.79;4.8;5.35
395;43.89;4.66;5.34
396;16.61;4.72;5.4
397;10.87;5.74;5.42
398;21.63;5.17;5.35
399;91.7;4.93;5.4
400;62.69;5.17;5.46
401;19.61;4.34;5.41
402;7.6;5.71;5.39
403;22.57;4.85;5.42
404;43.66;4.81;5.43
405;83.75;4.67;5.37
406;68.69;4.69;5.43
407;32.66;5.9;5.43
408;13.61;5.03;5.34
409;16.54;4.84;5.43
410;73.56;4.93;5.33
411;11.68;5.05;5.38
412;13.54;4.33;5.45
413;7.54;5.77;5.36
414;39.58;4.05;5.33
415;71.71;5.72;5.35
416;9.66;4.64;5.36
417;18.55;4.73;5.44
418;28.64;5.7;5.5
419;18.61;4.94;5.35
420;19.63;5.06;5.34
421;18.79;4.95;5.44
422;19.82;4.83;5.37
423;10.79;4.68;5.45
424;10.32;5.79;5.45
425;33.83;5.09;5.42
426;40.61;3.94;5.47
427;12.52;5.71;5.42
428;66.57;4.86;5.35
429;11.63;4.53;5.36
430;47.93;5.85;5.36
431;19.91;4.96;5.35
432;35.94;5.05;5.44
433;32.91;3.99;5.38
434;8.14;5.58;5.36
435;7.98;4.86;5.61
436;16.89;4.69;5.32
437;8.86;5.81;5.5
438;19.89;4.95;5.44
439;18.88;4.83;5.34
440;24.91;4.8;5.46
441;37.94;4.79;5.35
442;20.96;5.59;5.36
443;10.88;4.82;5.36
444;20.74;4.88;5.45
445;20.74;4.5;5.5
446;10.91;5.65;5.47
447;9.05;4.72;5.49
448;43.97;4.59;5.39
449;22.95;5.79;5.36
450;6.84;4.84;5.34
451;7.2;4.62;5.43
452;12.93;4.67;5.37
453;7.09;5.71;5.46
454;11.96;4.67;5.46
455;22.98;4.69;5.35
456;9.01;5.74;5.36
457;9.01;4.68;5.36
458;18.07;4.62;5.36
459;7.9;5.7;5.42
460;7.97;4.93;5.54
461;16;4.7;5.53
462;6.96;5.6;5.34
463;29.88;4.08;5.37
464;5.93;5.68;5.45
465;16.91;4.82;5.36
466;57.05;4.56;5.48
467;25.96;5.77;5.44
468;20.89;4.61;5.41
469;48.92;4.59;5.33
470;13.04;5.75;5.35
471;50.96;4.61;5.36
472;38.99;4.92;5.45
473;28.89;4.97;5.46
474;19.93;4.65;5.35
475;32.38;5.77;5.45
476;14.2;4.81;5.35
477;7.47;4.57;5.37
478;17.21;5.56;5.29
479;11.22;4.62;5.54
480;8.18;5.63;5.47
481;9.13;4.81;5.34
482;50.17;4.71;5.34
483;11.22;4.58;5.45
484;9.2;5.68;5.34
485;17.23;4.55;5.37
486;18.22;5.76;5.34
487;8.16;4.83;5.42
488;10.32;4.71;5.52
489;14.21;4.63;5.46
490;30.15;5.74;5.36
491;10.21;4.09;5.43
492;22.21;5.75;5.33
493;7.15;5;5.44
494;19.21;5.1;5.35
495;69.28;4.68;5.37
496;10.29;4.65;5.36
497;16.22;4.76;5.45
498;13.28;5.78;5.34
499;7.18;4.89;5.44
500;25.17;4.62;5.34
501;34.22;5.66;5.47
502;22.17;4.86;5.47
503;23.18;4.86;5.35
504;9.14;4.75;5.34
505;31.13;4.56;5.46
506;60.24;5.75;5.38
507;41.35;4.6;5.43
508;6.24;5.71;5.33
509;11.19;4.89;5.35
510;34.18;4.72;5.33
511;12.19;4.92;5.36
512;8.2;4.71;5.43
513;35.37;4.71;5.33
514;23.18;5.7;5.33
515;8.23;4.81;5.37
516;9.17;4.55;5.34
517;16.13;5.75;5.45
518;31.16;4.72;5.42
519;15.2;4.54;5.56
520;45.2;5.7;5.35
521;43.22;4.72;5.33
522;24.19;5.74;5.45
523;25.26;3.9;5.34
524;25.2;5.64;5.34
525;17.21;4.65;5.38
526;54.36;5.71;5.48
527;20.16;4.77;5.53
528;16.22;4.94;5.34
529;7.12;4.87;5.49
530;11.14;4.58;5.43
531;40.18;4.81;5.34
532;16.23;5.69;5.34
533;14.18;5.12;5.37
534;19.2;4.87;5.39
535;14.26;5.06;5.33
536;7.21;4.99;5.44
537;33.19;4.73;5.35
538;23.23;4.5;5.44
539;43.35;5.8;5.4
540;7.88;4.59;5.48
541;17.95;5.55;5.41
542;13.11;4.9;5.35
543;25.94;4.85;5.32
544;25.91;4.57;5.44
545;38.96;5.75;5.43
546;20.9;4.67;5.54
547;34.99;4.5;5.43
548;6.92;5.85;5.33
549;9.9;4.02;5.37
550;44.96;5.66;5.33
551;11.01;4.65;5.37
552;10.89;4.75;5.49
553;33.9;5.68;5.33
554;11.94;4.76;5.4
555;12.92;4.51;5.52
556;43.92;5.71;5.48
557;14.91;4.84;5.47
558;73.96;4.75;5.34
559;9.96;5.68;5.36
560;5.82;4.01;5.52
561;22.9;5.74;5.36
562;19.9;4.74;5.34
563;24.02;4.67;5.33
564;21.93;5.84;5.46
565;13.92;4.55;5.37
566;15.12;4.68;5.35
567;8.87;4.73;5.38
568;26.87;5.69;5.56
569;22.93;4.83;5.35
570;14.95;4.58;5.37
571;53.95;5.79;5.46
572;30.89;5.02;5.33
573;11.92;4.75;5.35
574;15.91;4.84;5.36
575;20.89;4.56;5.33
576;14.9;5.76;5.37
577;9.95;4.74;5.43
578;10.89;4.53;5.34
579;32.99;5.88;5.35
580;15.95;4.9;5.45
581;30.94;4.62;5.33
582;13.02;5.05;5.35
583;9.87;4.74;5.33
584;14.98;5.57;5.45
585;28.94;4.87;5.37
586;13.97;4.68;5.39
587;36.89;4.65;5.36
588;8.93;5.72;5.33
589;6.9;4.74;5.37
590;14.94;4.58;5.42
591;33.9;5.71;5.43
592;33.9;5.06;5.48
593;10.97;4.24;5.52
594;6.93;4.82;5.51
595;7.03;5.95;5.36
596;16.99;5.01;5.56
597;7.93;4.99;5.37
598;16.97;4.71;5.35
599;36.98;4.56;5.34
600;30.9;5.66;5.36
601;26.96;4.56;5.54
602;16.91;4.58;5.36
603;6.9;5.71;5.56
604;51.94;4.74;5.44
605;58.94;4.67;5.35
606;19.65;5.69;5.35
607;11.34;4.53;5.37
608;8.17;5.69;5.59
609;7.21;4.8;5.44
610;27.19;4.78;5.34
611;6.2;4.76;5.36
612;10.18;4.69;5.33
613;21.2;5.72;5.35
614;8.15;4.68;5.34
615;8.21;4.53;5.37
616;17.18;5.83;5.38
617;17.28;4.82;5.35
618;32.23;4.89;5.33
619;51.2;4.54;5.33
620;36.22;5.73;5.45
621;11.21;4.73;5.42
622;63.21;4.6;5.35
623;80.25;5.7;5.33
624;18.2;4.61;5.46
625;28.2;4.65;5.43
626;40.16;5.66;5.54
627;22.95;4.74;5.29
628;19.21;4.5;5.43
629;18.19;5.69;5.4
630;20.17;4.58;5.34
631;18.21;5.63;5.44
632;49.19;4.84;5.53
633;28.13;4.77;5.44
634;92.19;4.64;5.46
635;35.15;5.77;5.43
636;36.11;4.99;5.45
637;21.3;4.89;5.37
638;16.1;5.08;5.54
639;20.11;4.19;5.46
640;6.26;5.67;5.36
641;30.17;4.85;5.35
642;8.19;4.57;5.34
643;17.16;5.67;5.34
644;10.17;4.84;5.39
645;51.19;4.6;5.41
646;26.12;5.66;5.38
647;45.21;4.54;5.54
648;12.17;5.62;5.44
649;13.14;4.7;5.38
650;27.2;4.87;5.5
651;42.13;4.56;5.42
652;9.2;5.67;5.43
653;14.14;4.87;5.36
654;8.14;4.86;5.45
655;12.13;4.9;5.43
656;56.26;4.54;5.44
657;15.15;5.77;5.36
658;15.58;4.82;5.35
659;12.16;4.57;5.47
660;13.21;5.87;5.35
661;45.18;4.98;5.36
662;39.15;4.65;5.32
663;8.17;4.73;5.33
664;48.13;4.72;5.55
665;26.73;5.75;5.42
666;46.45;4.82;5.34
667;66.23;4.67;5.45
668;75.23;5.6;5.41
669;52.25;5.07;5.35
670;21.21;4.66;5.37
671;14.18;4.75;5.34
672;54.25;4.97;5.35
673;19.21;4.86;5.4
674;15.23;4.82;5.56
675;25.2;5.67;5.49
676;24.27;4.98;5.45
677;7.21;5.2;5.34
678;11.15;5.05;5.45
679;8.28;4.51;5.32
680;32.82;4.52;5.46
681;57.2;5.69;5.36
682;8.19;4.58;5.45
683;13.23;4.68;5.37
684;30.23;5.63;5.36
685;23.2;4.55;5.34
686;26.25;5.74;5.34
687;31.22;4.9;5.43
688;20.33;4.75;5.44
689;61.29;4.58;5.43
690;13.29;5.62;5.55
691;20.59;4.56;5.36
692;69.19;5.78;5.35
693;10.19;4.6;5.56
694;91.24;4.76;5.43
695;9.17;4.83;5.55
696;30.6;5.75;5.36
697;40.56;4.66;5.35
698;49.05;4.62;5.33
699;8.2;5.74;5.43
700;17.17;4.85;5.35
701;28.24;4.97;5.35
702;9.17;4.96;5.33
703;17.17;4.75;5.35
704;92.28;4.58;5.36
705;42.07;5.59;5.56
706;34.2;4.54;5.33
707;14.26;5.76;5.33
708;21.2;4.68;5.36
709;26.17;4.65;5.45
710;21.74;5.6;5.37
711;54.17;4.62;5.44
712;25.22;4.71;5.43
713;17.56;5.91;5.44
714;22.51;4.11;5.34
715;88.52;5.72;5.37
716;23.4;4.93;5.45
717;7.9;5.1;5.34
718;11.77;3.98;5.36
719;21.48;5.87;5.34
720;27.2;4.91;5.44
721;17.19;4.72;5.35
722;21.11;4.89;5.36
