Time (in seconds),Validator,CPU Used
827,Validator,2.61
828,Validator,0.18
829,Validator,2.97
830,Validator,3.00
831,Validator,3.06
832,Validator,0.48
833,Validator,5.33
834,Validator,0.70
835,Validator,4.01
836,Validator,1.94
837,Validator,2.99
838,Validator,0.54
839,Validator,1.55
840,Validator,1.32
841,Validator,0.04
842,Validator,1.47
843,Validator,2.08
844,Validator,0.52
845,Validator,2.61
846,Validator,0.96
847,Validator,0.22
848,Validator,0.88
849,Validator,1.56
850,Validator,1.79
851,Validator,0.80
852,Validator,5.63
853,Validator,0.17
854,Validator,4.22
855,Validator,1.33
856,Validator,3.85
857,Validator,1.25
858,Validator,5.13
859,Validator,0.05
860,Validator,1.15
861,Validator,1.37
862,Validator,0.02
863,Validator,0.09
864,Validator,1.26
865,Validator,0.75
866,Validator,0.14
867,Validator,2.83
868,Validator,0.36
869,Validator,0.04
870,Validator,2.32
871,Validator,0.18
872,Validator,1.00
873,Validator,4.37
874,Validator,0.96
875,Validator,4.28
876,Validator,1.83
877,Validator,5.62
878,Validator,0.37
879,Validator,5.24
880,Validator,1.31
881,Validator,4.06
882,Validator,1.73
883,Validator,2.43
884,Validator,0.28
885,Validator,1.34
886,Validator,1.39
887,Validator,0.29
888,Validator,0.35
889,Validator,1.55
890,Validator,0.12
891,Validator,0.30
892,Validator,1.05
893,Validator,0.24
894,Validator,0.03
895,Validator,1.80
896,Validator,1.91
897,Validator,0.14
898,Validator,3.61
899,Validator,1.23
900,Validator,3.23
901,Validator,2.56
902,Validator,4.91
903,Validator,0.74
904,Validator,4.56
905,Validator,0.67
906,Validator,6.41
907,Validator,2.11
908,Validator,2.94
909,Validator,0.11
910,Validator,0.96
911,Validator,1.41
912,Validator,0.57
913,Validator,0.33
914,Validator,0.92
915,Validator,0.37
916,Validator,0.93
917,Validator,1.16
918,Validator,0.09
919,Validator,4.01
920,Validator,0.95
921,Validator,3.41
922,Validator,0.15
923,Validator,4.53
924,Validator,0.41
925,Validator,2.59
926,Validator,2.05
927,Validator,3.69
928,Validator,0.68
929,Validator,0.77
930,Validator,0.46
931,Validator,0.53
932,Validator,0.86
933,Validator,0.54
934,Validator,0.13
935,Validator,2.52
936,Validator,0.70
937,Validator,0.33
938,Validator,2.69
939,Validator,1.58
940,Validator,0.33
941,Validator,0.73
942,Validator,3.74
943,Validator,0.72
944,Validator,5.47
945,Validator,1.24
946,Validator,2.91
947,Validator,0.64
948,Validator,7.05
949,Validator,0.25
950,Validator,3.26
951,Validator,2.04
952,Validator,0.62
953,Validator,0.63
954,Validator,2.76
955,Validator,0.67
956,Validator,0.46
957,Validator,2.44
958,Validator,0.78
959,Validator,0.53
960,Validator,1.46
961,Validator,0.55
962,Validator,0.10
963,Validator,0.98
964,Validator,2.56
965,Validator,0.82
966,Validator,0.25
967,Validator,3.97
968,Validator,0.05
969,Validator,4.06
970,Validator,1.10
971,Validator,4.22
972,Validator,0.31
973,Validator,6.05
974,Validator,0.39
975,Validator,0.18
976,Validator,3.04
977,Validator,0.52
978,Validator,0.19
979,Validator,1.49
980,Validator,0.50
981,Validator,0.23
982,Validator,0.83
983,Validator,2.04
984,Validator,0.43
985,Validator,1.82
986,Validator,1.13
987,Validator,0.05
988,Validator,1.27
989,Validator,1.43
990,Validator,2.78
991,Validator,0.89
992,Validator,5.24
993,Validator,0.27
994,Validator,3.26
995,Validator,1.67
996,Validator,3.56
997,Validator,0.11
998,Validator,3.48
999,Validator,0.88
1000,Validator,0.16
1001,Validator,0.96
1002,Validator,0.54
1003,Validator,0.23
1004,Validator,4.15
1005,Validator,1.09
1006,Validator,0.44
1007,Validator,1.42
1008,Validator,1.59
1009,Validator,0.86
1010,Validator,2.39
1011,Validator,1.76
1012,Validator,0.72
1013,Validator,4.33
1014,Validator,0.64
1015,Validator,3.57
1016,Validator,0.98
1017,Validator,5.82
1018,Validator,0.49
1019,Validator,4.07
1020,Validator,1.06
1021,Validator,0.16
1022,Validator,0.74
1023,Validator,1.46
1024,Validator,0.02
1025,Validator,0.35
1026,Validator,2.02
1027,Validator,0.31
1028,Validator,0.69
1029,Validator,1.41
1030,Validator,1.28
1031,Validator,0.10
1032,Validator,1.37
1033,Validator,2.03
1034,Validator,0.29
1035,Validator,1.05
1036,Validator,6.26
1037,Validator,0.16
1038,Validator,5.28
1039,Validator,1.13
1040,Validator,3.20
1041,Validator,1.20
1042,Validator,5.25
1043,Validator,0.14
1044,Validator,3.45
1045,Validator,0.77
1046,Validator,0.62
1047,Validator,0.31
1048,Validator,0.93
1049,Validator,0.27
1050,Validator,0.35
1051,Validator,1.64
1052,Validator,0.15
1053,Validator,0.99
1054,Validator,3.32
1055,Validator,0.81
1056,Validator,1.13
1057,Validator,4.88
1058,Validator,0.49
1059,Validator,5.38
1060,Validator,0.97
1061,Validator,4.01
1062,Validator,0.50
1063,Validator,6.63
1064,Validator,0.89
1065,Validator,2.64
1066,Validator,0.88
1067,Validator,1.61
1068,Validator,0.40
1069,Validator,1.61
1070,Validator,0.29
