Transaction Number,CosmWasm (Tendermint),Hyperledger Besu (IBFT2),Ethereum (PoW)
336,5.48,4.59,5.09
337,5.34,4.56,59.18
338,5.43,5.65,22.12
339,5.46,4.57,19.99
340,5.51,5.59,15.68
341,5.54,4.66,51.61
342,5.44,4.6,30.18
343,5.35,5.45,35.25
344,5.34,4.51,6.25
345,5.43,5.55,7.08
346,5.36,4.47,37.49
347,5.45,5.51,32.49
348,5.53,4.44,13.18
349,5.34,5.5,23.17
350,5.43,4.47,18.55
351,5.36,5.51,7.03
352,5.45,4.48,9.37
353,5.46,5.45,67.87
354,5.35,5.49,11.28
355,5.34,4.58,12.76
356,5.45,4.47,43.1
357,5.36,5.51,32.18
358,5.46,5.45,11.04
359,5.4,4.62,7.5
360,5.42,4.49,18.12
361,5.37,5.61,15.11
362,5.43,4.49,35.11
363,5.57,5.72,35.33
364,5.43,4.63,17.17
365,5.33,4.62,17.28
366,5.36,5.54,15.1
367,5.37,4.7,23.04
368,5.36,5.54,73.39
369,5.34,4.81,10.08
370,5.33,4.6,22.21
371,5.38,5.47,61.48
372,5.49,4.62,4.03
373,5.48,5.45,31.05
374,5.45,4.51,41.42
375,5.46,5.44,52.2
376,5.33,4.61,8.15
377,5.38,5.46,22.2
378,5.42,4.56,17.07
379,5.39,5.46,7.08
380,5.34,4.53,14.31
381,5.33,5.47,13.26
382,5.37,4.6,14.22
383,5.46,4.51,20.19
384,5.33,5.61,20.18
385,5.33,4.52,39.17
386,5.36,5.55,33.15
387,5.38,4.52,18.24
388,5.47,5.51,39.18
389,5.46,4.48,26.66
390,5.45,5.61,29.61
391,5.53,4.62,20.52
392,5.56,4.59,10.66
393,5.37,5.59,57.76
394,5.35,4.68,49.79
395,5.34,5.55,43.89
396,5.4,4.78,16.61
397,5.42,4.66,10.87
398,5.35,5.5,21.63
399,5.4,4.53,91.7
400,5.46,5.51,62.69
401,5.41,4.59,19.61
402,5.39,5.5,7.6
403,5.42,4.71,22.57
404,5.43,4.58,43.66
405,5.37,5.46,83.75
406,5.43,4.5,68.69
407,5.43,5.52,32.66
408,5.34,4.46,13.61
409,5.43,5.55,16.54
410,5.33,4.45,73.56
411,5.38,5.52,11.68
412,5.45,4.55,13.54
413,5.36,5.54,7.54
414,5.33,4.5,39.58
415,5.35,5.63,71.71
416,5.36,4.53,9.66
417,5.44,4.66,18.55
418,5.5,5.56,28.64
419,5.35,4.64,18.61
420,5.34,5.49,19.63
421,5.44,4.54,18.79
422,5.37,5.55,19.82
423,5.45,4.48,10.79
424,5.45,5.49,10.32
425,5.42,4.51,33.83
426,5.47,5.46,40.61
427,5.42,4.57,12.52
428,5.35,5.46,66.57
429,5.36,4.51,11.63
430,5.36,5.48,47.93
431,5.35,4.5,19.91
432,5.44,5.48,35.94
433,5.38,4.53,32.91
434,5.36,5.47,8.14
435,5.61,4.5,7.98
436,5.32,5.5,16.89
437,5.5,4.51,8.86
438,5.44,5.47,19.89
439,5.34,4.59,18.88
440,5.46,5.51,24.91
441,5.35,4.5,37.94
442,5.36,5.47,20.96
443,5.36,4.57,10.88
444,5.45,5.55,20.74
445,5.5,4.46,20.74
446,5.47,5.59,10.91
447,5.49,4.64,9.05
448,5.39,4.48,43.97
449,5.36,5.59,22.95
450,5.34,4.54,6.84
451,5.43,5.54,7.2
452,5.37,4.52,12.93
453,5.46,5.46,7.09
454,5.46,4.71,11.96
455,5.35,5.49,22.98
456,5.36,4.66,9.01
457,5.36,4.46,9.01
458,5.36,5.58,18.07
459,5.42,4.5,7.9
460,5.54,5.55,7.97
461,5.53,4.56,16
462,5.34,5.48,6.96
463,5.37,4.55,29.88
464,5.45,5.49,5.93
465,5.36,4.52,16.91
466,5.48,5.48,57.05
467,5.44,4.5,25.96
468,5.41,5.52,20.89
469,5.33,4.61,48.92
470,5.35,5.49,13.04
471,5.36,4.54,50.96
472,5.45,5.56,38.99
473,5.46,4.55,28.89
474,5.35,4.53,19.93
475,5.45,5.54,32.38
476,5.35,4.56,14.2
477,5.37,5.54,7.47
478,5.29,4.51,17.21
479,5.54,5.55,11.22
480,5.47,4.54,8.18
481,5.34,5.57,9.13
482,5.34,4.64,50.17
483,5.45,4.55,11.22
484,5.34,5.48,9.2
485,5.37,4.48,17.23
486,5.34,5.56,18.22
487,5.42,4.46,8.16
488,5.52,5.53,10.32
489,5.46,4.46,14.21
490,5.36,5.56,30.15
491,5.43,4.46,10.21
492,5.33,5.52,22.21
493,5.44,4.5,7.15
494,5.35,5.46,19.21
495,5.37,4.52,69.28
496,5.36,5.51,10.29
497,5.45,4.45,16.22
498,5.34,5.49,13.28
499,5.44,4.45,7.18
500,5.34,5.49,25.17
501,5.47,5.46,34.22
502,5.47,4.61,22.17
503,5.35,4.47,23.18
504,5.34,5.59,9.14
505,5.46,4.45,31.13
506,5.38,5.55,60.24
507,5.43,4.48,41.35
